,,,,,
IT,140,Interacting In A Digital World,3,"COM 110,""ENG 101",This course provides foundation concepts of computers and information technologies and their application in today's world. Lecture and lab. Not for credit IT Major or minor.,,,,,,,,,,,,,,,,,,,
IT,150,Using Microcomputer Productivity Tools,3,,"Introduction to typical microcomputer-based productivity tools such as word processing, spreadsheets, databases, and presentation graphics. Lecture and lab. Not for credit IT major/minor, or if had BTE 125.",,,,,,,,,,,,,,,,,,,
IT,164,Introduction To Problem Solving Using The Computer,3,,"Use of pseudocode, charts, and Python to develop the analytical and algorithmic thinking necessary to succeeding in programming courses.",,,,,,,,,,,,,,,,,,,
IT,165,Computer Programming For Scientists,4,MAT 145,Introduction to computer programming emphasizing numerical algorithms for scientific applications. Problem analysis and operating system concepts included. Not for credit IT major or minor. Lecture and lab.,,,,,,,,,,,,,,,,,,,
IT,166,Python Programming For Science and Data Analysis,4,MAT 121 or MAT 145 or GEO 238, Introduction to computer programming in Python emphasizing algorithms for scientific applications and data analysis. Lecture and lab,,,,,,,,,,,,,,,,,,,
IT,168,Structured Problem Solving Using The Computer,4,MAT 140,Introduction to the development of algorithms for computer systems processing. Emphasis on structured problem solving and the design of problem solutions. Recommended as one of the first courses in the Computer Science major. Lecture and lab.,,,,,,,,,,,,,,,,,,,
IT,170,Scripting Languages and Automation,3,IT 168,"Fundamentals of scripting languages for automation of tasks and general programming. Emphasis on portability, text processing and system administration. Not for credit if had IT 175.",,,,,,,,,,,,,,,,,,,
IT,175,Python for Networking and Security ,3,MAT 140,"Fundamentals of scripting languages for automation of tasks and general programming. Emphasis on portability, text processing and system administration. Not for credit if had IT 170.",,,,,,,,,,,,,,,,,,,
IT,178,Computer Application Programming,3,IT 168,"The design, development, and implementation of computer application systems, including files and GUI.",,,,,,,,,,,,,,,,,,,
IT,179,Introduction To Data Structures,3,IT 168,"Intermediate computer programming, including elementary data structures such as linked lists, stacks, queues, binary trees.",,,,,,,,,,,,,,,,,,,
IT,180,"C++ Programming",1,IT 179,"Introduction to the C++ programming language with emphasis on pointers, dynamic memory management, and templates.",,,,,,,,,,,,,,,,,,,
IT,191,Introduction To IT Professional Practice,1,IT 168 or IT 175,"Researching available positions, interpreting job descriptions, interview skills, preparing a resume, benefits of a Professional Practice experience.",,,,,,,,,,,,,,,,,,,
IT,214,"Social, Legal, And Ethical Issues In Information Technology",3,"[""COM 110"" ,""ENG 101""]","Study of personal, societal, legal, and ethical issues raised by the effects of information technology.",,,,,,,,,,,,,,,,,,,
IT,225,Computer Organization,3,"[""IT 178"" or ""IT179""]","Introduction to computer organization, internal representation of instructions and data, and interaction between software and hardware components.",,,,,,,,,,,,,,,,,,,
IT,226,Advanced Practical Application Development,3,"[""IT 179""]","Practical programming tools and techniques, including event-driven programming, design patterns, testing, source-code control, software maintenance. Introduction to C++ and UNIX.",,,,,,,,,,,,,,,,,,,
IT,244,Introduction To Business Intelligence,3,"[""IT 150"", ""MQM 100""]",This course enables students to learn about Business Intelligence and explore the relevant technology from a multi-disciplinary perspective.,,,,,,,,,,,,,,,,,,,
IT,250,Fundamentals of Information Assurance and Security,3,"[""IT 170"" or ""IT 178"" or ""IT 179""]","Fundamental concepts in information assurance and security including planning, risk management, cryptography, network security, hardening, people, and physical security. Formerly IT 350.",,,,,,,,,,,,,,,,,,,
IT,254,Hardware And Software Concepts,3,"[""IT 168"" or ""IT 175""]","Overview of nature and interrelationships of computer architectures, hardware, operating systems, data types, microcontrollers, virtualization, storage technologies, and filesystems.",,,,,,,,,,,,,,,,,,,
IT,256,Linux Administration Fundamentals,3,"[""IT 168"" or ""TEC 151"", ""IT 225"" or ""IT 254"" or ""TEC 143""]","Administering Linux operating system, focus on command line interface, file system, shells, and user management, permissions, performance monitoring, package management.",,,,,,,,,,,,,,,,,,,
IT,261,Systems Development I,3,"[""IT 170"" or ""IT 175"" or ""IT 178"" or ""IT 179"", ""IT 254"" or ""IT 225""]","Information systems development, development methodologies, analysis and design techniques and tools, relational database concepts.",,,,,,,,,,,,,,,,,,,
IT,262,Information Technology Project Management ,3,"[""IT 261""]","The processes, methods, techniques, and tools in managing information technology projects including scope, time, cost, quality, and risk management.",,,,,,,,,,,,,,,,,,,
IT,272,Cobol As A Second Language,4,"[""IT 168""]",COBOL language for students with substantial programming experience in another language. Emphasizes structured problem-solving and programming.,,,,,,,,,,,,,,,,,,,
IT,276,Data Communications,3,"[""IT 168"" or ""IT 175"", ""IT 225"" or ""IT 254""]","Hardware and software used in data communications and networking. Network types, architectures, protocols and standards. Local area and packet networks. Formerly IT 375.",,,,,,,,,,,,,,,,,,,
IT,279,Algorithms And Data Structures,3,"[""IT 180"" or ""IT 226"", ""MAT 160"" or ""MAT 260""]","Data structures, algorithms, mathematical foundations of computer science. Topics include lists, trees, graphs, sorting, searching, correctness, computational complexity, algorithm design.",,,,,,,,,,,,,,,,,,,
IT,310,"""Cloud Networking""",3,"[""IT 377""]","Teaches students how to design, analyze, optimize, deploy, configure, and manage the networks of modern cloud data centers.",,,,,,,,,,,,,,,,,,,
IT,311,"""Internet of Things""",3,"[""IT 380""]",This course is focused on IoT solutions for multi-discipline topics and develop solutions using IoT design and analysis.,,,,,,,,,,,,,,,,,,,
IT,326,"""Principles Of Software Engineering""",3,"[""IT 179"",  ""IT 261""]","Fundamentals of software engineering. Topics include specification models, metrics, design fundamentals, interface design, quality assurance, and automated tools. Offered alternate years.",,,,,,,,,,,,,,,,,,,
IT,327,"""Concepts Of Programming Languages""",3,"[""IT 179""]","Survey of pragmatic, syntactic and semantic structure of programming languages. Procedural, logic-oriented, object-oriented and other contemporary languages included.",,,,,,,,,,,,,,,,,,,
IT,328,Introduction To The Theory Of Computation,3,"[""IT 279""]","Basic concepts in computing theory. Topics include recursive definitions, regular expressions, transition graphs, automata, nondeterminism, grammars, parsing, decidability, Turing machines.",,,,,,,,,,,,,,,,,,,
IT,329,"""Compiler Design""",3,"[""IT 279"", ""IT 327""]",Study the fundamental principles of how compilers work and explore the major components of modern compilers.,,,,,,,,,,,,,,,,,,,
IT,330,"""Introduction To Enterprise Computer Systems""",3,"[""IT 225"", or ""IT 254""]","Introduction to the mainframe enterprise computing systems, organizations, architectures, operating systems, networking, hardware and software utilities, and applications.",,,,,,,,,,,,,,,,,,,
IT,340,"""Introduction To Artificial Intelligence""",3,"[""IT 279""]",Foundations of artificial intelligence including heuristic search and knowledge representation with a survey of several artificial intelligence research areas.,,,,,,,,,,,,,,,,,,,
